Rank,Name,Tourn P,Rank P,Ach P,GS,TF,AF,M,O,BT,T,W@1,W%,Elo
77,John Isner,42,4,3,0,0,0,1,-,1,16,0,61.00%,2147
78,Todd Martin,43,3,1,0,0,0,0,-,0,8,0,63.70%,2188
79,Andres Gimeno,40,4,1,1,0,0,1,-,2,11,0,65.30%,2261
80,Grigor Dimitrov,38,6,1,0,1,0,1,-,2,8,0,60.10%,2203
81,Gael Monfils,44,0,1,0,0,0,0,-,0,12,0,63.30%,2189
82,Marty Riessen,42,0,2,0,0,0,2,-,2,13,0,61.80%,2223
83,Tim Mayotte,43,0,1,0,0,0,2,-,2,12,0,62.60%,2179
84,Casper Ruud,35,8,1,0,0,0,0,-,0,10,0,63.60%,2163
85,Albert Costa,42,0,1,1,0,0,1,-,2,12,0,58.50%,2154
86,Andrei Medvedev,40,2,1,0,0,0,4,-,4,11,0,60.10%,2177
87,Wayne Ferreira,42,0,1,0,0,0,2,-,2,15,0,60.80%,2158
88,Greg Rusedski,38,3,2,0,0,1,1,-,2,15,0,60.30%,2178
89,Robin Soderling,37,4,2,0,0,0,1,-,1,10,0,64.60%,2271
90,Fernando Gonzalez,40,2,1,0,0,0,0,-,0,11,0,64.70%,2209
91,Jose Higueras,40,0,1,0,0,0,1,-,1,16,0,65.20%,2210
92,Ivan Ljubicic,34,5,1,0,0,0,1,-,1,10,0,59.20%,2206
93,Adriano Panatta,36,2,1,1,0,0,1,-,2,11,0,62.20%,2241
94,Pat Cash,35,2,2,1,0,0,0,-,1,6,0,61.40%,2217
95,Jannik Sinner,34,4,1,0,0,0,1,-,1,10,0,71.30%,2256
96,Richard Gasquet,38,0,1,0,0,0,0,-,0,16,0,60.70%,2196
97,Guy Forget,33,2,1,0,0,0,2,-,2,11,0,56.60%,2179
98,Mark Philippoussis,35,0,1,0,0,0,1,-,1,11,0,60.50%,2171
99,Henri Leconte,34,1,1,0,0,0,0,-,0,9,0,58.40%,2187
100,John Alexander,34,0,1,0,0,0,2,-,2,8,0,57.20%,2159
101,Cedric Pioline,33,1,1,0,0,0,1,-,1,5,0,55.00%,2110
102,Sebastien Grosjean,32,2,1,0,0,0,1,-,1,4,0,58.00%,2133
103,Wojtek Fibak,34,0,1,0,0,0,0,-,0,15,0,63.20%,2180
104,Eliot Teltscher,33,0,1,0,0,0,1,-,1,10,0,64.90%,2200
105,Anders Jarryd,32,1,1,0,0,1,0,-,1,8,0,60.40%,2182
106,Magnus Norman,25,7,1,0,0,0,1,-,1,12,0,58.00%,2172
107,Joakim Nystrom,31,0,1,0,0,0,2,-,2,13,0,65.10%,2242
108,Emilio Sanchez,31,0,1,0,0,0,1,-,1,15,0,59.80%,2142
109,Tommy Robredo,31,1,0,0,0,0,1,-,1,12,0,59.80%,2107
110,Marc Rosset,30,0,2,0,0,0,0,1,1,15,0,55.30%,2116
111,Cliff Drysdale,30,0,1,0,0,0,1,-,1,8,0,61.80%,2227
112,Jonas Bjorkman,27,4,0,0,0,0,0,-,0,6,0,53.40%,2174
113,James Blake,25,4,1,0,0,0,0,-,0,10,0,58.70%,2164
114,Gaston Gaudio,27,1,1,1,0,0,0,-,1,8,0,58.00%,2137
115,Andrei Chesnokov,28,0,1,0,0,0,3,-,3,7,0,57.20%,2104
116,Dick Stockton,28,0,1,0,0,0,1,-,1,9,0,59.80%,2212
117,Gilles Simon,28,0,1,0,0,0,0,-,0,14,0,56.10%,2124
118,Tom Gorman,27,0,1,0,0,0,1,-,1,9,0,58.30%,2122
119,Alex Metreveli,28,0,0,0,0,0,0,-,0,12,0,73.20%,2208
120,David Goffin,27,0,1,0,0,0,0,-,0,6,0,57.90%,2165
121,Mikhail Youzhny,26,0,1,0,0,0,0,-,0,10,0,54.50%,2122
122,Aaron Krickstein,26,0,1,0,0,0,0,-,0,9,0,60.70%,2162
123,Kevin Anderson,25,1,1,0,0,0,0,-,0,7,0,58.30%,2181
124,Richard Pancho Gonzales,22,1,3,0,0,0,2,-,2,9,0,62.90%,2203
125,Alberto Berasategui,24,0,2,0,0,0,0,-,0,14,0,58.30%,2134
125,Magnus Gustafsson,26,0,0,0,0,0,0,-,0,14,0,61.50%,2150
127,Nicolas Kiefer,24,2,0,0,0,0,0,-,0,6,0,57.10%,2135
128,Thomas Johansson,24,0,1,1,0,0,1,-,2,9,0,54.70%,2136
129,Mark Cox,24,0,1,0,0,0,1,-,1,14,0,59.20%,2132
130,Kevin Curren,23,1,1,0,0,0,0,-,0,5,0,59.20%,2162
131,Mark Edmondson,23,0,1,1,0,0,0,-,1,6,0,51.50%,2050
132,Felix Mantilla,24,0,0,0,0,0,1,-,1,10,0,58.90%,2133
133,Vijay Amritraj,24,0,0,0,0,0,0,-,0,16,0,56.60%,2124
134,Victor Pecci,23,0,1,0,0,0,0,-,0,10,0,59.50%,2181
135,Tomas Smid,24,0,0,0,0,0,0,-,0,9,0,60.90%,2133
136,Magnus Larsson,23,0,1,0,0,1,0,-,1,7,0,58.40%,2188
136,Matteo Berrettini,24,0,0,0,0,0,0,-,0,7,0,64.20%,2173
136,Nick Kyrgios,23,0,1,0,0,0,0,-,0,7,0,65.00%,2176
139,Brian Teacher,23,0,0,1,0,0,0,-,1,8,0,58.80%,2133
140,Hubert Hurkacz,22,0,1,0,0,0,2,-,2,7,0,58.90%,2099
141,Guillermo Canas,23,0,0,0,0,0,1,-,1,7,0,56.40%,2113
142,Nicolas Almagro,23,0,0,0,0,0,0,-,0,13,0,58.80%,2160
142,Zeljko Franulovic,23,0,0,0,0,0,0,-,0,13,0,57.10%,2126
144,Clark Graebner,23,0,0,0,0,0,0,-,0,11,0,66.80%,2147
145,Feliciano Lopez,22,0,1,0,0,0,0,-,0,7,0,50.90%,2074
145,Fernando Verdasco,22,0,1,0,0,0,0,-,0,7,0,55.60%,2204
147,Mardy Fish,22,0,1,0,0,0,0,-,0,6,0,58.00%,2169
148,Pablo Carreno Busta,22,0,0,0,0,0,1,-,1,7,0,55.80%,2121
149,Sandy Mayer,22,0,0,0,0,0,0,-,0,12,0,65.00%,2178
150,Robert Lutz,22,0,0,0,0,0,0,-,0,11,0,60.30%,2134
150,Roberto Bautista Agut,22,0,0,0,0,0,0,-,0,11,0,61.30%,2135
152,Ivo Karlovic,12,2,8,0,0,0,0,-,0,8,0,51.70%,2061
153,Karen Khachanov,20,0,1,0,0,0,1,-,1,5,0,57.70%,2137
154,Roger Taylor,21,0,0,0,0,0,0,-,0,9,0,55.70%,2118
155,Roy Emerson,18,2,1,0,0,0,0,-,0,6,0,62.00%,2225
156,Karel Novacek,20,0,0,0,0,0,1,-,1,13,0,54.90%,2109
157,Taylor Harry Fritz,18,1,1,0,0,0,1,-,1,6,0,57.90%,2134
158,Martin Jaite,20,0,0,0,0,0,0,-,0,12,0,62.70%,2125
159,Jiri Novak,19,1,0,0,0,0,0,-,0,7,0,56.40%,2112
160,Dennis Ralston,18,1,1,0,0,0,0,-,0,6,0,54.30%,2242
161,Earl Butch Buchholz,18,1,1,0,0,0,0,-,0,6,0,54.90%,2226
162,Radek Stepanek,20,0,0,0,0,0,0,-,0,5,0,56.00%,2136
163,Holger Vitus Nodskov Rune,16,2,1,0,0,0,1,-,1,4,0,60.70%,2146
164,Felix Auger Aliassime,19,0,0,0,0,0,0,-,0,5,0,60.10%,2140
